Identifier,Actual Dates:Duration months,Actual Dates:End Date,Actual Dates:Start Date,Amount Applied For,Amount Awarded,Amount Disbursed,Award Date,Beneficiary Location:0:Country Code,Beneficiary Location:0:Geographic Code,Beneficiary Location:0:Geographic Code Type,Beneficiary Location:0:Name,Beneficiary Location:1:Country Code,Beneficiary Location:1:Geographic Code,Beneficiary Location:1:Geographic Code Type,Beneficiary Location:1:Name,Beneficiary Location:2:Country Code,Beneficiary Location:2:Geographic Code,Beneficiary Location:2:Geographic Code Type,Beneficiary Location:2:Name,Beneficiary Location:3:Country Code,Beneficiary Location:3:Geographic Code,Beneficiary Location:3:Geographic Code Type,Beneficiary Location:3:Name,Beneficiary Location:4:Country Code,Beneficiary Location:4:Geographic Code,Beneficiary Location:4:Geographic Code Type,Beneficiary Location:4:Name,Beneficiary Location:5:Country Code,Beneficiary Location:5:Geographic Code,Beneficiary Location:5:Geographic Code Type,Beneficiary Location:5:Name,Beneficiary Location:6:Country Code,Beneficiary Location:6:Geographic Code,Beneficiary Location:6:Geographic Code Type,Beneficiary Location:6:Name,Beneficiary Location:7:Country Code,Beneficiary Location:7:Geographic Code,Beneficiary Location:7:Geographic Code Type,Beneficiary Location:7:Name,Beneficiary Location:Geographic Code,Beneficiary Location:Geographic Code Type,Beneficiary Location:Name,Currency,Data Source,Description,From An Open Call?,Funding Org:Description,Funding Org:Identifier,Funding Org:Name,Funding Org:Postal Code,Funding Org:Web Address,Grant Programme:Code,Grant Programme:Title,Grant Programme:URL,Last modified,License see note,Planned Dates:Duration (months),Planned Dates:Duration months,Planned Dates:End Date,Planned Dates:Start Date,Publisher:Name,Recipient District,Recipient District Geographic Code,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Identifier,Recipient Org:Location:0:Geographic Code,Recipient Org:Location:0:Geographic Code Type,Recipient Org:Location:0:Name,Recipient Org:Location:1:Geographic Code,Recipient Org:Location:1:Geographic Code Type,Recipient Org:Location:1:Name,Recipient Org:Location:2:Geographic Code,Recipient Org:Location:2:Geographic Code Type,Recipient Org:Location:2:Name,Recipient Org:Name,Recipient Org:Postal Code,Recipient Region,Recipient Ward,Recipient Ward Geographic Code,Retrieved for use in GrantNav,Title,URL,org_type,postcode,org_income,osward,lsoa11,lat,long,relevant
360G-blf-0030112036,,,,490902.0,490902.0,,2013-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,"The aim of this existing project is to continue to provide services to unpaid carers in the borough of Kingston, many of whom are providing substantial levels of care with little or no support. Kingston Carers' Network (KCN) aims to increase its capacity so that it can provide more services to more carers with a focus on reaching those who are struggling without any support. ",,,360G-blf,The Big Lottery Fund,,,RC5,Reaching Communities,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,60.0,,2014-01-01,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,1039508,8376060,GB-CHC-1039508,E05000402,,Beverley,E09000021,,Kingston upon Thames,,,,Kingston Carers' Network,,London,Beverley Ward,E05000402,2018-06-04T09:08:02+00:00,Reaching Kingston's Carers,,Charity,,,,,,,0
360G-blf-0030068207,,,,965.0,965.0,,2013-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,A Second World War veteran from Surrey has been awarded a grant towards travel costs for a commemorative visit to Norway in October of this year. Funding has been provided for one Second World War veteran and one spouse.,,,360G-blf,The Big Lottery Fund,,,AVR1,Heroes Return,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2013-07-23,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,,,360G-blf-408FD954-2D58-4D2C-9D50-C677FAF70137,E05000406,,Coombe Hill,E09000021,,Kingston upon Thames,,,,This is a programme for individual veterans as opposed to organisaitons,,London,Coombe Hill Ward,E05000406,2018-06-04T09:08:02+00:00,Heroes Return,,Individual,,,,,,,0
360G-blf-0030057182,,,,9234.0,9234.0,,2011-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,This is a project by a parish council in Kingston Vale. The group will use funding to run a youth cub for local residents. This will offer children and young people the opportunity to develop and interact in a safe and supervised environment.,,,360G-blf,The Big Lottery Fund,,,AFE1,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2011-04-19,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,,,360G-blf-org-StJohntheBaptistParochialChurchCouncilKingstonValeCharity:CharitableUnincorporatedAssociation142013,E05000406,,Coombe Hill,E09000021,,Kingston upon Thames,,,,St John the Baptist Parochial Church Council Kingston Vale,,London,Coombe Hill Ward,E05000406,2018-06-04T09:08:02+00:00,The Karabiner Project,,Charity,,,,,,,0
360G-blf-0030063177,,,,7800.0,7800.0,,2013-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,This is a project by a charity in Kingston-upon-Thames. The group will use the funding to provide a sessional support worker to reduce the waiting time between referral and receiving counselling for people affected by a bereavement. This will increase the capacity of the group and improve access for beneficiaries.,,,360G-blf,The Big Lottery Fund,,,AFE1,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2013-06-03,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,1160983,,GB-CHC-1160983,E05000403,,Canbury,E09000021,,Kingston upon Thames,,,,Kingston Bereavement Service,,London,Canbury Ward,E05000403,2018-06-04T09:08:02+00:00,Adult Bereavement Service Project,,Charity,KT2 6LQ,199467.0,E05000403,E01002937,51.413579,-0.295138,0
360G-blf-0030056324,,,,5000.0,5000.0,,2010-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,"This is a project by a charity in Surbiton. They will use funding to run a series of outings, reminiscent sessions and sensory activities for people with mental health issues. This will help beneficiaries develop their memory, organisational and concentration skills, and improve their mental health.",,,360G-blf,The Big Lottery Fund,,,AFE1,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2011-01-18,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,802456,,GB-CHC-802456,E05000413,,Surbiton Hill,E09000021,,Kingston upon Thames,,,,The Fircroft Trust,,London,Surbiton Hill Ward,E05000413,2018-06-04T09:08:02+00:00,Keeping an Agile Mind,,Charity,KT6 6RH,583287.0,E05000413,E01002994,51.382183,-0.303562,0
360G-blf-0030101344,,,,93000.0,114383.0,,2010-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,This project in Kingston upon Thames finds suitable temporary accommodation for people sleeping rough or 'sofa surfers'. The hostel placement service will run a daily drop-in service that will offer direct intervention including providing new housing opportunities for those living in hostels by making referrals to accommodation providers. It will also help with placing clients into Kingston Churches Action on Homelessness's own temporary accommodation and will offer support and advice.,,,360G-blf,The Big Lottery Fund,,,RC2,Reaching Communities,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,36.0,,2011-02-01,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,1075890,3735702,GB-CHC-1075890,E05000408,,Grove,E09000021,,Kingston upon Thames,,,,Kingston Churches Action on Homelessness,,London,Grove Ward,E05000408,2018-06-04T09:08:02+00:00,Housing Crisis Intervention Service,,Charity,KT2 6QL,530384.0,E05000409,E01002972,51.411229,-0.290567,0
360G-blf-0030110224,,,,875.0,875.0,,2009-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,A Second World War veteran from Holland has been awarded a grant towards travel costs for a commemorative visit to Holland in September 2009. Funding has been provided for one Second World War veteran and one carer.,,,360G-blf,The Big Lottery Fund,,,AVR1,Heroes Return,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2009-07-21,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,,,360G-blf-79A56BEA-E993-4BD9-8B7F-145E619B628F,E05000413,,Surbiton Hill,E09000021,,Kingston upon Thames,,,,This is a programme for individual veterans as opposed to organisaitons,,London,Surbiton Hill Ward,E05000413,2018-06-04T09:08:02+00:00,Heroes Return,,Individual,,,,,,,0
360G-blf-0030103843,,,,875.0,875.0,,2011-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,A Second World War veteran from Kingston upon Thames has been awarded a grant towards travel costs for a commemorative visit to Norway in March 2011. Funding has been provided for one Second World War veteran and one spouse.,,,360G-blf,The Big Lottery Fund,,,AVR1,Heroes Return,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2011-01-25,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,,,360G-blf-14355357-870A-4990-96F9-D0CC091A99A6,E05000406,,Coombe Hill,E09000021,,Kingston upon Thames,,,,This is a programme for individual veterans as opposed to organisaitons,,London,Coombe Hill Ward,E05000406,2018-06-04T09:08:02+00:00,Heroes Return,,Individual,,,,,,,0
360G-blf-0030108557,,,,2825.0,2825.0,,2009-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,A Second World War veteran from Surrey has been awarded a grant towards travel costs for a commemorative visit to Libya in April of next year. Funding has been provided for one Second World War veteran and one spouse.,,,360G-blf,The Big Lottery Fund,,,AVR1,Heroes Return,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2009-08-11,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,,,360G-blf-93C1C5C6-980D-41BB-A1F5-03320A9CC320,E05000413,,Surbiton Hill,E09000021,,Kingston upon Thames,,,,This is a programme for individual veterans as opposed to organisaitons,,London,Surbiton Hill Ward,E05000413,2018-06-04T09:08:02+00:00,Heroes Return,,Individual,,,,,,,0
360G-blf-0030061210,,,,10000.0,10000.0,,2011-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,This is a project by a school in Kingston upon Thames. The group will use funding to purchase a specially adapted mini bus for people with disabilities. This will build capacity for the school and enable all pupils to enjoy trips and excursions.,,,360G-blf,The Big Lottery Fund,,,AFE1,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2011-06-14,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,,,360G-blf-org-DysartSchoolSchool:StateSchool142013,E05000413,,Surbiton Hill,E09000021,,Kingston upon Thames,,,,Dysart School,,London,Surbiton Hill Ward,E05000413,2018-06-04T09:08:02+00:00,Out and About in Kingston,,School,,,,,,,0
360G-blf-0030106480,,,,147202.0,152722.0,,2009-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,"This project in Kingston upon Thames, provides a twice weekly community venue for refugees and asylum seekers to attend on a regular basis to access learning, skills development and interaction with volunteers. A team of trained and supervised volunteers provide a range of activities to facilitate interaction, develop skills and confidence, and reduce isolation. Activities will include English language learning, literacy skills development, IT coaching and social opportunities.",,,360G-blf,The Big Lottery Fund,,,RC2,Reaching Communities,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,36.0,,2010-01-03,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,1013841,,GB-CHC-1013841,E05000403,,Canbury,E09000021,,Kingston upon Thames,,,,Refugee Action Kingston,,London,Canbury Ward,E05000403,2018-06-04T09:08:02+00:00,The Bright Futures Centre,,Charity,KT2 6LX,288813.0,E05000403,E01033569,51.412991,-0.298597,0
360G-blf-0031006836,,,,499992.0,499993.0,,2014-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,Overcoming Poverty Through Innovative livelihood Opportunities,,,360G-blf,The Big Lottery Fund,,,ICA2,International Communities,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,60.0,,2014-07-01,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,313757,703509,GB-CHC-313757,E05000409,,Norbiton,E09000021,,Kingston upon Thames,,,,Voluntary Service Overseas,,London,Norbiton Ward,E05000409,2018-06-04T09:08:02+00:00,Overcoming Poverty Through Innovative livelihood Opportunities,,Charity - International,KT2 6QJ,78430000.0,E05000409,E01002972,51.410605,-0.292805,0
360G-blf-0030078292,,,,5000.0,5000.0,,2008-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,This group would use funding to help people with severe to moderate mental health problems develop independent living skills and participate in more social and creative activities.,,,360G-blf,The Big Lottery Fund,,,A4E4,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2008-06-23,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,802456,,GB-CHC-802456,E05000411,,St. James,E09000021,,Kingston upon Thames,,,,The Fircroft Trust,,London,St. James Ward,E05000411,2018-06-04T09:08:02+00:00,Activities for People with Mental Health Problems,,Charity,KT6 6RH,583287.0,E05000413,E01002994,51.382183,-0.303562,0
360G-blf-0030091269,,,,7220.0,7220.0,,2010-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,"This is a project by a bridging school in Kingston-upon-Thames who will use the funding to deliver film making activities to young people. This will develop the students' personal, learning and communication skills, through participation in creative and research activities.",,,360G-blf,The Big Lottery Fund,,,AFE1,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2010-11-02,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,,,360G-blf-org-MecklenburgPupilReferralUnitSchool:StateSchool111901,E05000408,,Grove,E09000021,,Kingston upon Thames,,,,Mecklenburg Pupil Referral Unit,,London,Grove Ward,E05000408,2018-06-04T09:08:02+00:00,Confidence Through Creativity (CTC): Muybridge Meets Anstee Bridge,,School,,,,,,,0
360G-blf-0030014302,,,,8500.0,8500.0,,2008-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,This project will enable more paddling opportunities for local schools and the community and will support volunteers in attaining a coaching qualification.,,,360G-blf,The Big Lottery Fund,,,A4E4,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2008-12-15,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,,,360G-blf-org-RoyalCanoeClubCharity:CharitableUnincorporatedAssociation111866,E05000405,,Chessington South,E09000021,,Kingston upon Thames,,,,Royal Canoe Club,,London,Chessington South Ward,E05000405,2018-06-04T09:08:02+00:00,No Project Name,,Sport Club,,,,,,,0
360G-blf-0030022566,,,,10000.0,10000.0,,2009-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,This project will set up an internet café in Surbiton to enable economically disadvantaged local residents access  free internet facilities and computer training.,,,360G-blf,The Big Lottery Fund,,,A4E4,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2009-01-26,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,,6581625,GB-COH-06581625,E05000412,,St. Mark's,E09000021,,Kingston upon Thames,,,,Near Hope Club,,London,St. Mark's Ward,E05000412,2018-06-04T09:08:02+00:00,Community Cyber Cafe,,Charity,,,,,,,0
360G-blf-0030078342,,,,335214.0,308004.0,,2009-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,"The project will develop, support and sustain infrastructure services through capacity building, community development and improved exchange of information. Training will also be available for VCS groups to improve governance and quality standards.",,,360G-blf,The Big Lottery Fund,,,BAS3,BASIS,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,48.0,,2009-03-27,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,257551,,GB-CHC-257551,E05000403,,Canbury,E09000021,,Kingston upon Thames,,,,Kingston Voluntary Action,,London,Canbury Ward,E05000403,2018-06-04T09:08:02+00:00,Kingston Infrastructure Support and Development Project,,Charity,,,,,,,0
360G-blf-0030023409,,,,3540.0,3540.0,,2009-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,"This project will provide a series of workshops for parents with pre-school age children. Activities will include story time, messy play, garden explorers, music and movement, as well as cook and eat. The project aims to facilitate parents engaging their children in activities designed to develop their emotional, social, physical and creative skills and prepare them for formal learning.",,,360G-blf,The Big Lottery Fund,,,A4E4,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2009-01-26,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,206286,,GB-CHC-206286,E05000403,,Canbury,E09000021,,Kingston upon Thames,,,,Kingston & District Welcare Association,,London,Canbury Ward,E05000403,2018-06-04T09:08:02+00:00,Time for Families,,Charity,KT2 6LQ,137174.0,E05000403,E01002937,51.413579,-0.295138,0
360G-blf-0030103346,,,,3700.0,3700.0,,2010-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,"A Second World War veteran from New Malden, Surrey has been awarded a grant towards travel costs for a commemorative visit to India in November 2010. Funding has been provided for one Second World War veteran and one carer.",,,360G-blf,The Big Lottery Fund,,,AVR1,Heroes Return,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2010-07-16,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,,,360G-blf-A784E565-0DDF-478D-990B-870F36E3BA9C,E05000407,,Coombe Vale,E09000021,,Kingston upon Thames,,,,This is a programme for individual veterans as opposed to organisaitons,,London,Coombe Vale Ward,E05000407,2018-06-04T09:08:02+00:00,Heroes Return,,Individual,,,,,,,0
360G-blf-0030105459,,,,496177.0,481681.0,,2009-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,"This project is designed to extend the provision of support into education and training opportunities to marginalised women nationally. Hillcroft offers residential learning specifically for women on low income who have not had higher education opportunities, this outreach programme will extend that service nationally.",,,360G-blf,The Big Lottery Fund,,,RC2,Reaching Communities,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,48.0,,2009-08-31,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,312825,201528,GB-CHC-312825,E05000413,,Surbiton Hill,E09000021,,Kingston upon Thames,,,,Hillcroft College,,London,Surbiton Hill Ward,E05000413,2018-06-04T09:08:02+00:00,Hillcroft Outreach Project,,University or College,TW9 2RE,2267347.0,E05000528,E01003876,51.464375,-0.303021,0
360G-blf-0030058175,,,,4080.0,4037.0,,2010-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,"This is a project by a voluntary group in Surbiton, who will use the funding to create a dance film. This will improve the opportunities of the participants, who are in recovery from substance misuse, in terms of well-being, physical activity and personal development.",,,360G-blf,The Big Lottery Fund,,,AFE1,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,23.0,,2010-11-01,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,1061582,3306337,GB-CHC-1061582,E05000412,,St. Mark's,E09000021,,Kingston upon Thames,,,,Cranstoun Drug Services,,London,St. Mark's Ward,E05000412,2018-06-04T09:08:02+00:00,Dancing in the Streets,,Charity,KT10 9AD,19560000.0,E05011076,E01030310,51.376729,-0.35442,0
360G-blf-0030064801,,,,7000.0,7000.0,,2012-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,This is a project by a charity in Kingston upon Thames. The group will use the funding to purchase a storage container and provide exercise and sports equipment for its community pavilion and recreation area. This will create an improved facility for beneficiaries to access social activities.,,,360G-blf,The Big Lottery Fund,,,AFE1,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,16.0,,2013-02-12,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,1098440,,GB-CHC-1098440,E05000415,,Tudor,E09000021,,Kingston upon Thames,,,,Canbury Community Trust,,London,Tudor Ward,E05000415,2018-06-04T09:08:02+00:00,Canbury Community Trust Youth Development Project,,Charity,KT2 5AL,15923.0,E05000415,E01003011,51.417309,-0.303025,0
360G-blf-0030092959,,,,10000.0,10000.0,,2010-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,"This is a project by a community group in Kingston who will use the funding to train a number of volunteers from the local community in a number of interpersonal skills such as mediation, mentoring and outreach work.",,,360G-blf,The Big Lottery Fund,,,AFE1,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2010-10-05,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,,,360G-blf-org-FairwayCharity:CharitableUnincorporatedAssociation142010,E05000402,,Beverley,E09000021,,Kingston upon Thames,,,,Fairway,,London,Beverley Ward,E05000402,2018-06-04T09:08:02+00:00,Unified,,Charity,,,,,,,0
360G-blf-0030100034,,,,10000.0,10000.0,,2009-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,This community group will use funding to hold a community festival. The event will provide the opportunity for the local community to come together to interact with one another and discuss relevant local issues.,,,360G-blf,The Big Lottery Fund,,,AFE1,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2010-01-06,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,,,360G-blf-org-AlexandraNeighboursAssociationCharity:CharitableUnincorporatedAssociation131990,E05000401,,Berrylands,E09000021,,Kingston upon Thames,,,,Alexandra Neighbours Association,,London,Berrylands Ward,E05000401,2018-06-04T09:08:02+00:00,Alexandra Neighbours Association Community Festival,,Charity,,,,,,,0
360G-blf-0030014480,,,,7561.0,7311.0,,2009-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,This school in Kingston upon Thames will provide a covered area so that pupils can participate in a range of outdoor activities.,,,360G-blf,The Big Lottery Fund,,,A4E4,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2009-04-27,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,,,360G-blf-org-BedelsfordSchoolSchool:StateSchool111906,E05000408,,Grove,E09000021,,Kingston upon Thames,,,,Bedelsford School,,London,Grove Ward,E05000408,2018-06-04T09:08:02+00:00,Specialist Outdoor Access For Vulnerable Children,,School,,,,,,,0
360G-blf-0030052770,,,,10000.0,10000.0,,2011-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,This is a project by a charity based in Long Ditton. The group will use funding to clear some recently purchased land and to develop it into an outdoor activity area. This will create an accessible outdoor play area for the local community.,,,360G-blf,The Big Lottery Fund,,,AFE1,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2011-11-08,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,1128898,,GB-CHC-1128898,E05000414,,Tolworth and Hook Rise,E09000021,,Kingston upon Thames,,,,The Parochial Church Council of the Ecclesiastical Parish of Long Ditton,,London,Tolworth and Hook Rise Ward,E05000414,2018-06-04T09:08:02+00:00,St Mary's Community Hall Safe Open Space and Play Area,,Charity,KT7 0DJ,136942.0,E05011079,E01030320,51.379209,-0.340185,0
360G-blf-0030066931,,,,9900.0,9900.0,,2013-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,"This is a project by a charity in Sutton, Surrey. The group will use the funding to send beneficiaries on an advanced 4x4 driving course and to purchase recovery kits and radios. This will enable the group to expand its current rescue response service.",,,360G-blf,The Big Lottery Fund,,,AFE1,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2013-10-05,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,1152110,,GB-CHC-1152110,E05000408,,Grove,E09000021,,Kingston upon Thames,,,,Surrey 4 x 4 Response,,London,Grove Ward,E05000408,2018-06-04T09:08:02+00:00,Surrey 4 x 4 Response Development,,Charity,SM5 4AD,7321.0,E05000570,E01004180,51.353681,-0.156848,0
